"Provincia","Municipio","Direccion","RazonSocial","PuntosToma","NivelTension","Distribuidora"
"SEVILLA","Aguadulce","AUTOVIA A-92 ,KM 98","TESLA SPAIN SLU","8","480","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BIZKAIA","Abadiño","BARRIO MURUETA ,S/N","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BADAJOZ","Albuera (La)","AVENIDA DE EXTREMADURA ,44","SFERAONE SOLUTIONS Y SERVICES SL","1","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"MADRID","Alcobendas","CALLE VALPORTILLA II ,8","Acciona Eficiencia Energética, S.L.","1","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"MADRID","Alcobendas","CALLE ANABEL SEGURA (DE) ,11","IBERDROLA CLIENTES SOCIEDAD ANONIMA","28","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"MADRID","Alcorcón","CALLE VEREDA DE LOS BARROS ,28","JOHNSTON VENTURES SL","1","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"CÁDIZ","Barrios (Los)","URBANIZACIÓN GUADACORTE ,CC BAHA CENTRO ","PAGA MENOS LUZ SL","1","10","ENDESA DISTRIBUCION ELECTRICA, S.L."
"CANTABRIA","Astillero (El)","BARRIO BOO, CALLE BOO ,52","ESTACION DE SERVICIO BOO G2 S.L","1","400","E.ON DISTRIBUCION, S.L."
"CANTABRIA","Bárcena de Cicero","AUTOVIA A8 ,182","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","400","E.ON DISTRIBUCION, S.L."
"BALEARS, ILLES","Calvià","CARRETERA ANDRATX ,12-12,4","Endesa Energía S.A.U.","1","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BALEARS, ILLES","Campanet","CARRETERA PALMA-ALCUDIA ,36,8","Endesa Energía S.A.U.","1","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"ASTURIAS","Cangas de Onís","CALLE PICOS DE EUROPA ,S/N","EDP COMERCIALIZADORA, S.A.","1","400","HIDROCANTABRICO DISTRIBUCION ELECTRICA, S.A."
"CANTABRIA","Cabezón de la Sal","BARRIO CABROJO S/N ,0","AREA DE SERVICIO VIRGEN DE LA PEÑA S.L","1","400","E.ON DISTRIBUCION, S.L."
"BALEARS, ILLES","Campos","CAMINO DE CIUTAT VELL ,S/N","Endesa Energía S.A.U.","1","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BIZKAIA","Barakaldo","AVENIDA DE LA RIBERA ,1","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BIZKAIA","Barakaldo","CALLE LA INMACULADA ,1","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","6","230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BIZKAIA","Barakaldo","CALLE RONDA DE AZKUE ,1","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BIZKAIA","Barakaldo","AVENIDA LA RIBERA  ,S/N","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"ALICANTE/ALACANT","Alicante/Alacant","CARRETERA AGOST-URBS ,9","MARE NOSTRUM OIL MANAGEMENT S.L.U.","1","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"ALICANTE/ALACANT","Alicante/Alacant","AVENIDA MAISONNAVE ,53","SABA APARCAMIENTOS S.A.","4","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"CÁDIZ","Conil de la Frontera","CARRETERA NACIONAL 340 ,17","ENSE CONIL S.L.","1","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BADAJOZ","Badajoz","POLIGONO NEVERO EL ,18","Sol Ardila S.L.","1","220V","ENDESA"
"BARCELONA","Badalona","PLAZA PLANA ,1","SABA APARCAMIENTOS S.A.","4","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"GIRONA","Banyoles","PASSEIG MOSSEN LLUIS CONSTANS ,1B","AGRI-ENERGIA S.A.","2","400","AGRI ENERGIA ELECTRICA, S.A."
"CIUDAD REAL","Almuradiel","CARRETERA A-4 ,243","SFERAONE SOLUTIONS Y SERVICES SL","1","15000","UNION FENOSA DISTRIBUCION, S.A."
